N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3
0.0851,0.0021,8.444366455,2.286011466,10.72563241,0.629335217,18.8001,14.1001,0.786864646,RAISE,LOWER,RAISE
0.0841,0.0031,8.63712719,2.281265957,10.72563241,0.738786011,19.2001,14.4001,0.787307091,RAISE,LOWER,RAISE
0.0831,0.0041,8.640041494,2.088505223,10.72563241,0.757222293,19.6001,14.7001,0.80527906,RAISE,LOWER,RAISE
0.0821,0.0051,9.001485067,2.085590918,10.72563241,0.827389982,20.0001,15.0001,0.805550774,RAISE,LOWER,RAISE
0.0811,0.0061,9.119756294,1.724147345,10.72563241,0.86320716,20.4001,15.3001,0.83924982,RAISE,LOWER,RAISE
0.0801,0.0071,9.994094414,1.605876119,10.72563241,1.057885954,20.8001,15.6001,0.85027679,RAISE,LOWER,RAISE
0.0791,0.0081,4.262223992,0.731537998,10.72563241,1.244690583,21.2001,15.9001,0.931795351,RAISE,LOWER,RAISE
0.0781,0.0091,4.650264732,6.46340842,10.72563241,1.16527754,21.6001,16.2001,0.39738673,RAISE,LOWER,RAISE
0.0771,0.0101,5.025343841,6.075367681,10.72563241,0.143895123,22.0001,16.5001,0.433565552,RAISE,LOWER,RAISE
0.0761,0.0111,5.237802033,5.700288572,10.72563241,0.165433406,22.4001,16.8001,0.468535901,RAISE,LOWER,RAISE
0.0751,0.0121,5.753844291,5.48783038,10.72563241,0.183773224,22.8001,17.1001,0.488344354,RAISE,LOWER,RAISE
0.0741,0.0131,6.66286335,4.971788121,10.72563241,0.209694684,23.2001,17.4001,0.536457345,RAISE,LOWER,RAISE
0.0731,0.0141,7.025525733,4.062769062,10.72563241,0.268026842,23.6001,17.7001,0.62120937,RAISE,LOWER,RAISE
0.0721,0.0151,7.069611272,3.70010668,10.72563241,0.34584913,24.0001,18.0001,0.65502205,RAISE,LOWER,RAISE
0.0711,0.0161,8.028589722,3.65602114,10.72563241,0.382130132,24.4001,18.3001,0.659132348,RAISE,LOWER,RAISE
0.0701,0.0171,8.403801716,2.697042691,10.72563241,0.439198211,24.8001,18.6001,0.748542316,RAISE,LOWER,RAISE
0.0691,0.0181,9.29434553,2.321830696,10.72563241,0.623186407,25.2001,18.9001,0.783525054,RAISE,LOWER,RAISE
0.0681,0.0191,9.70786338,1.431286882,10.72563241,0.800604932,25.6001,19.2001,0.866554546,RAISE,LOWER,RAISE
0.0671,0.0201,9.709984244,1.017769032,10.72563241,1.356522372,26.0001,19.5001,0.905108716,RAISE,LOWER,RAISE
0.0661,0.0211,10.29292063,1.015648168,10.72563241,1.908091903,26.4001,19.8001,0.905306454,RAISE,LOWER,RAISE
0.0651,0.0221,10.68474759,0.432711778,10.72563241,2.026867366,26.8001,20.1001,0.959656292,RAISE,LOWER,RAISE
0.0641,0.0231,7.036623021,0.040884826,10.72563241,4.938505546,27.2001,20.4001,0.99618812,HOLD,LOWER,HOLD
0.0631,0.0231,7.275735997,3.689009392,10.72563241,34.4216854,27.2001,20.4001,0.656056701,RAISE,LOWER,RAISE
0.0621,0.0241,7.610489948,3.449896415,10.72563241,0.394454729,27.6001,20.7001,0.678350303,RAISE,LOWER,RAISE
